card1,card2,theme,oracle,meaning
The Inner Eye,The Moon,,,
The Inner Eye,The Sun,,,
The Inner Eye,The Well,,,
The Inner Eye,The Mountain,,,
The Inner Eye,Atlas,,,
The Inner Eye,The Hawk,,,
The Inner Eye,The Storm,,,
The Inner Eye,The Vulture,,,
The Inner Eye,The Eye of Horus,,,
The Inner Eye,The Goat,,,
The Inner Eye,The Harpy,,,
The Shattered Shell,The Hearthstone,,,
The Shattered Shell,The Selkie,,,
The Shattered Shell,The Heart,,,
The Shattered Shell,The Satyr,,,
The Shattered Shell,The Cave,,,
The Shattered Shell,The Bone Skull,,,
The Shattered Shell,The Wheel,,,
The Shattered Shell,The Mirror,,,
The Shattered Shell,The Bat,,,
The Shattered Shell,The Thorn,,,
The Shattered Shell,The Angel,,,
The Shattered Shell,The Torch,,,
The Shattered Shell,The Lightning,,,
The Shattered Shell,The Starling,,,
The Shattered Shell,The Moon,,,
The Shattered Shell,The Sun,,,
The Shattered Shell,The Well,,,
The Shattered Shell,The Mountain,,,
The Shattered Shell,Atlas,,,
The Shattered Shell,The Hawk,,,
The Shattered Shell,The Storm,,,
The Shattered Shell,The Vulture,,,
The Shattered Shell,The Eye of Horus,,,
The Shattered Shell,The Goat,,,
The Shattered Shell,The Harpy,,,
The Hearthstone,The Selkie,,,
The Hearthstone,The Heart,,,
The Hearthstone,The Satyr,,,
The Hearthstone,The Cave,,,
The Hearthstone,The Bone Skull,,,
The Hearthstone,The Wheel,,,
The Hearthstone,The Mirror,,,
The Hearthstone,The Bat,,,
The Hearthstone,The Thorn,,,
The Hearthstone,The Angel,,,
The Hearthstone,The Torch,,,
The Hearthstone,The Lightning,,,
The Hearthstone,The Starling,,,
The Hearthstone,The Moon,,,
The Hearthstone,The Sun,,,
The Hearthstone,The Well,,,
The Hearthstone,The Mountain,,,
The Hearthstone,Atlas,,,
The Hearthstone,The Hawk,,,
The Hearthstone,The Storm,,,
The Hearthstone,The Vulture,,,
The Hearthstone,The Eye of Horus,,,
The Hearthstone,The Goat,,,
The Hearthstone,The Harpy,,,
The Selkie,The Heart,,,
The Selkie,The Satyr,,,
The Selkie,The Cave,,,
The Selkie,The Bone Skull,,,
The Selkie,The Wheel,,,
The Selkie,The Mirror,,,
The Selkie,The Bat,,,
The Selkie,The Thorn,,,
The Selkie,The Angel,,,
The Selkie,The Torch,,,
The Selkie,The Lightning,,,
The Selkie,The Starling,,,
The Selkie,The Moon,,,
The Selkie,The Sun,,,
The Selkie,The Well,,,
The Selkie,The Mountain,,,
The Selkie,Atlas,,,
The Selkie,The Hawk,,,
The Selkie,The Storm,,,
The Selkie,The Vulture,,,
The Selkie,The Eye of Horus,,,
The Selkie,The Goat,,,
The Selkie,The Harpy,,,
The Heart,The Satyr,,,
The Heart,The Cave,,,
The Heart,The Bone Skull,,,
The Heart,The Wheel,,,
The Heart,The Mirror,,,
The Heart,The Bat,,,
The Heart,The Thorn,,,
The Heart,The Angel,,,
The Heart,The Torch,,,
The Heart,The Lightning,,,
The Heart,The Starling,,,
The Heart,The Moon,,,
The Heart,The Sun,,,
The Heart,The Well,,,
The Heart,The Mountain,,,
The Heart,Atlas,,,
The Heart,The Hawk,,,
The Heart,The Storm,,,
The Heart,The Vulture,,,
The Heart,The Eye of Horus,,,
The Heart,The Goat,,,
The Heart,The Harpy,,,
The Satyr,The Cave,,,
The Satyr,The Bone Skull,,,
The Satyr,The Wheel,,,
The Satyr,The Mirror,,,
The Satyr,The Bat,,,
The Satyr,The Thorn,,,
The Satyr,The Angel,,,
The Satyr,The Torch,,,
The Satyr,The Lightning,,,
The Satyr,The Starling,,,
The Satyr,The Moon,,,
The Satyr,The Sun,,,
The Satyr,The Well,,,
The Satyr,The Mountain,,,
The Satyr,Atlas,,,
The Satyr,The Hawk,,,
The Satyr,The Storm,,,
The Satyr,The Vulture,,,
The Satyr,The Eye of Horus,,,
The Satyr,The Goat,,,
The Satyr,The Harpy,,,
The Cave,The Bone Skull,,,
The Cave,The Wheel,,,
The Cave,The Mirror,,,
The Cave,The Bat,,,
The Cave,The Thorn,,,
The Cave,The Angel,,,
The Cave,The Torch,,,
The Cave,The Lightning,,,
The Cave,The Starling,,,
The Cave,The Moon,,,
The Cave,The Sun,,,
The Cave,The Well,,,
The Cave,The Mountain,,,
The Cave,Atlas,,,
The Cave,The Hawk,,,
The Cave,The Storm,,,
The Cave,The Vulture,,,
The Cave,The Eye of Horus,,,
The Cave,The Goat,,,
The Cave,The Harpy,,,
The Bone Skull,The Wheel,,,
The Bone Skull,The Mirror,,,
The Bone Skull,The Bat,,,
The Bone Skull,The Thorn,,,
The Bone Skull,The Angel,,,
The Bone Skull,The Torch,,,
The Bone Skull,The Lightning,,,
The Bone Skull,The Starling,,,
The Bone Skull,The Moon,,,
The Bone Skull,The Sun,,,
The Bone Skull,The Well,,,
The Bone Skull,The Mountain,,,
The Bone Skull,Atlas,,,
The Bone Skull,The Hawk,,,
The Bone Skull,The Storm,,,
The Bone Skull,The Vulture,,,
The Bone Skull,The Eye of Horus,,,
The Bone Skull,The Goat,,,
The Bone Skull,The Harpy,,,
The Wheel,The Mirror,,,
The Wheel,The Bat,,,
The Wheel,The Thorn,,,
The Wheel,The Angel,,,
The Wheel,The Torch,,,
The Wheel,The Lightning,,,
The Wheel,The Starling,,,
The Wheel,The Moon,,,
The Wheel,The Sun,,,
The Wheel,The Well,,,
The Wheel,The Mountain,,,
The Wheel,Atlas,,,
The Wheel,The Hawk,,,
The Wheel,The Storm,,,
The Wheel,The Vulture,,,
The Wheel,The Eye of Horus,,,
The Wheel,The Goat,,,
The Wheel,The Harpy,,,
The Mirror,The Bat,,,
The Mirror,The Thorn,,,
The Mirror,The Angel,,,
The Mirror,The Torch,,,
The Mirror,The Lightning,,,
The Mirror,The Starling,,,
The Mirror,The Moon,,,
The Mirror,The Sun,,,
The Mirror,The Well,,,
The Mirror,The Mountain,,,
The Mirror,Atlas,,,
The Mirror,The Hawk,,,
The Mirror,The Storm,,,
The Mirror,The Vulture,,,
The Mirror,The Eye of Horus,,,
The Mirror,The Goat,,,
The Mirror,The Harpy,,,
The Bat,The Thorn,,,
The Bat,The Angel,,,
The Bat,The Torch,,,
The Bat,The Lightning,,,
The Bat,The Starling,,,
The Bat,The Moon,,,
The Bat,The Sun,,,
The Bat,The Well,,,
The Bat,The Mountain,,,
The Bat,Atlas,,,
The Bat,The Hawk,,,
The Bat,The Storm,,,
The Bat,The Vulture,,,
The Bat,The Eye of Horus,,,
The Bat,The Goat,,,
The Bat,The Harpy,,,
The Thorn,The Angel,,,
The Thorn,The Torch,,,
The Thorn,The Lightning,,,
The Thorn,The Starling,,,
The Thorn,The Moon,,,
The Thorn,The Sun,,,
The Thorn,The Well,,,
The Thorn,The Mountain,,,
The Thorn,Atlas,,,
The Thorn,The Hawk,,,
The Thorn,The Storm,,,
The Thorn,The Vulture,,,
The Thorn,The Eye of Horus,,,
The Thorn,The Goat,,,
The Thorn,The Harpy,,,
The Angel,The Torch,,,
The Angel,The Lightning,,,
The Angel,The Starling,,,
The Angel,The Moon,,,
The Angel,The Sun,,,
The Angel,The Well,,,
The Angel,The Mountain,,,
The Angel,Atlas,,,
The Angel,The Hawk,,,
The Angel,The Storm,,,
The Angel,The Vulture,,,
The Angel,The Eye of Horus,,,
The Angel,The Goat,,,
The Angel,The Harpy,,,
The Torch,The Lightning,,,
The Torch,The Starling,,,
The Torch,The Moon,,,
The Torch,The Sun,,,
The Torch,The Well,,,
The Torch,The Mountain,,,
The Torch,Atlas,,,
The Torch,The Hawk,,,
The Torch,The Storm,,,
The Torch,The Vulture,,,
The Torch,The Eye of Horus,,,
The Torch,The Goat,,,
The Torch,The Harpy,,,
The Lightning,The Starling,,,
The Lightning,The Moon,,,
The Lightning,The Sun,,,
The Lightning,The Well,,,
The Lightning,The Mountain,,,
The Lightning,Atlas,,,
The Lightning,The Hawk,,,
The Lightning,The Storm,,,
The Lightning,The Vulture,,,
The Lightning,The Eye of Horus,,,
The Lightning,The Goat,,,
The Lightning,The Harpy,,,
The Starling,The Moon,,,
The Starling,The Sun,,,
The Starling,The Well,,,
The Starling,The Mountain,,,
The Starling,Atlas,,,
The Starling,The Hawk,,,
The Starling,The Storm,,,
The Starling,The Vulture,,,
The Starling,The Eye of Horus,,,
The Starling,The Goat,,,
The Starling,The Harpy,,,
The Moon,The Sun,,,
The Moon,The Well,,,
The Moon,The Mountain,,,
The Moon,Atlas,,,
The Moon,The Hawk,,,
The Moon,The Storm,,,
The Moon,The Vulture,,,
The Moon,The Eye of Horus,,,
The Moon,The Goat,,,
The Moon,The Harpy,,,
The Sun,The Well,,,
The Sun,The Mountain,,,
The Sun,Atlas,,,
The Sun,The Hawk,,,
The Sun,The Storm,,,
The Sun,The Vulture,,,
The Sun,The Eye of Horus,,,
The Sun,The Goat,,,
The Sun,The Harpy,,,
The Well,The Mountain,,,
The Well,Atlas,,,
The Well,The Hawk,,,
The Well,The Storm,,,
The Well,The Vulture,,,
The Well,The Eye of Horus,,,
The Well,The Goat,,,
The Well,The Harpy,,,
The Mountain,Atlas,,,
The Mountain,The Hawk,,,
The Mountain,The Storm,,,
The Mountain,The Vulture,,,
The Mountain,The Eye of Horus,,,
The Mountain,The Goat,,,
The Mountain,The Harpy,,,
Atlas,The Hawk,,,
Atlas,The Storm,,,
Atlas,The Vulture,,,
Atlas,The Eye of Horus,,,
Atlas,The Goat,,,
Atlas,The Harpy,,,
The Hawk,The Storm,,,
The Hawk,The Vulture,,,
The Hawk,The Eye of Horus,,,
The Hawk,The Goat,,,
The Hawk,The Harpy,,,
The Storm,The Vulture,,,
The Storm,The Eye of Horus,,,
The Storm,The Goat,,,
The Storm,The Harpy,,,
The Vulture,The Eye of Horus,,,
The Vulture,The Goat,,,
The Vulture,The Harpy,,,
The Eye of Horus,The Goat,,,
The Eye of Horus,The Harpy,,,
The Goat,The Harpy,,,
