card1,card2,card3,theme,oracle,meaning
The Pearl,The Satyr,The Eye of Horus,,,
The Pearl,The Satyr,The Goat,,,
The Pearl,The Satyr,The Harpy,,,
The Pearl,The Cave,The Bone Skull,,,
The Pearl,The Cave,The Wheel,,,
The Pearl,The Cave,The Mirror,,,
The Pearl,The Cave,The Bat,,,
The Pearl,The Cave,The Thorn,,,
The Pearl,The Cave,The Angel,,,
The Pearl,The Cave,The Torch,,,
The Pearl,The Cave,The Lightning,,,
The Pearl,The Cave,The Starling,,,
The Pearl,The Cave,The Moon,,,
The Pearl,The Cave,The Sun,,,
The Pearl,The Cave,The Well,,,
The Pearl,The Cave,The Mountain,,,
The Pearl,The Cave,Atlas,,,
The Pearl,The Cave,The Hawk,,,
The Pearl,The Cave,The Storm,,,
The Pearl,The Cave,The Vulture,,,
The Pearl,The Cave,The Eye of Horus,,,
The Pearl,The Cave,The Goat,,,
The Pearl,The Cave,The Harpy,,,
The Pearl,The Bone Skull,The Wheel,,,
The Pearl,The Bone Skull,The Mirror,,,
The Pearl,The Bone Skull,The Bat,,,
The Pearl,The Bone Skull,The Thorn,,,
The Pearl,The Bone Skull,The Angel,,,
The Pearl,The Bone Skull,The Torch,,,
The Pearl,The Bone Skull,The Lightning,,,
The Pearl,The Bone Skull,The Starling,,,
The Pearl,The Bone Skull,The Moon,,,
The Pearl,The Bone Skull,The Sun,,,
The Pearl,The Bone Skull,The Well,,,
The Pearl,The Bone Skull,The Mountain,,,
The Pearl,The Bone Skull,Atlas,,,
The Pearl,The Bone Skull,The Hawk,,,
The Pearl,The Bone Skull,The Storm,,,
The Pearl,The Bone Skull,The Vulture,,,
The Pearl,The Bone Skull,The Eye of Horus,,,
The Pearl,The Bone Skull,The Goat,,,
The Pearl,The Bone Skull,The Harpy,,,
The Pearl,The Wheel,The Mirror,,,
The Pearl,The Wheel,The Bat,,,
The Pearl,The Wheel,The Thorn,,,
The Pearl,The Wheel,The Angel,,,
The Pearl,The Wheel,The Torch,,,
The Pearl,The Wheel,The Lightning,,,
The Pearl,The Wheel,The Starling,,,
The Pearl,The Wheel,The Moon,,,
The Pearl,The Wheel,The Sun,,,
The Pearl,The Wheel,The Well,,,
The Pearl,The Wheel,The Mountain,,,
The Pearl,The Wheel,Atlas,,,
The Pearl,The Wheel,The Hawk,,,
The Pearl,The Wheel,The Storm,,,
The Pearl,The Wheel,The Vulture,,,
The Pearl,The Wheel,The Eye of Horus,,,
The Pearl,The Wheel,The Goat,,,
The Pearl,The Wheel,The Harpy,,,
The Pearl,The Mirror,The Bat,,,
The Pearl,The Mirror,The Thorn,,,
The Pearl,The Mirror,The Angel,,,
The Pearl,The Mirror,The Torch,,,
The Pearl,The Mirror,The Lightning,,,
The Pearl,The Mirror,The Starling,,,
The Pearl,The Mirror,The Moon,,,
The Pearl,The Mirror,The Sun,,,
The Pearl,The Mirror,The Well,,,
The Pearl,The Mirror,The Mountain,,,
The Pearl,The Mirror,Atlas,,,
The Pearl,The Mirror,The Hawk,,,
The Pearl,The Mirror,The Storm,,,
The Pearl,The Mirror,The Vulture,,,
The Pearl,The Mirror,The Eye of Horus,,,
The Pearl,The Mirror,The Goat,,,
The Pearl,The Mirror,The Harpy,,,
The Pearl,The Bat,The Thorn,,,
The Pearl,The Bat,The Angel,,,
The Pearl,The Bat,The Torch,,,
The Pearl,The Bat,The Lightning,,,
The Pearl,The Bat,The Starling,,,
The Pearl,The Bat,The Moon,,,
The Pearl,The Bat,The Sun,,,
The Pearl,The Bat,The Well,,,
The Pearl,The Bat,The Mountain,,,
The Pearl,The Bat,Atlas,,,
The Pearl,The Bat,The Hawk,,,
The Pearl,The Bat,The Storm,,,
The Pearl,The Bat,The Vulture,,,
The Pearl,The Bat,The Eye of Horus,,,
The Pearl,The Bat,The Goat,,,
The Pearl,The Bat,The Harpy,,,
The Pearl,The Thorn,The Angel,,,
The Pearl,The Thorn,The Torch,,,
The Pearl,The Thorn,The Lightning,,,
The Pearl,The Thorn,The Starling,,,
The Pearl,The Thorn,The Moon,,,
The Pearl,The Thorn,The Sun,,,
The Pearl,The Thorn,The Well,,,
The Pearl,The Thorn,The Mountain,,,
The Pearl,The Thorn,Atlas,,,
The Pearl,The Thorn,The Hawk,,,
The Pearl,The Thorn,The Storm,,,
The Pearl,The Thorn,The Vulture,,,
The Pearl,The Thorn,The Eye of Horus,,,
The Pearl,The Thorn,The Goat,,,
The Pearl,The Thorn,The Harpy,,,
The Pearl,The Angel,The Torch,,,
The Pearl,The Angel,The Lightning,,,
The Pearl,The Angel,The Starling,,,
The Pearl,The Angel,The Moon,,,
The Pearl,The Angel,The Sun,,,
The Pearl,The Angel,The Well,,,
The Pearl,The Angel,The Mountain,,,
The Pearl,The Angel,Atlas,,,
The Pearl,The Angel,The Hawk,,,
The Pearl,The Angel,The Storm,,,
The Pearl,The Angel,The Vulture,,,
The Pearl,The Angel,The Eye of Horus,,,
The Pearl,The Angel,The Goat,,,
The Pearl,The Angel,The Harpy,,,
The Pearl,The Torch,The Lightning,,,
The Pearl,The Torch,The Starling,,,
The Pearl,The Torch,The Moon,,,
The Pearl,The Torch,The Sun,,,
The Pearl,The Torch,The Well,,,
The Pearl,The Torch,The Mountain,,,
The Pearl,The Torch,Atlas,,,
The Pearl,The Torch,The Hawk,,,
The Pearl,The Torch,The Storm,,,
The Pearl,The Torch,The Vulture,,,
The Pearl,The Torch,The Eye of Horus,,,
The Pearl,The Torch,The Goat,,,
The Pearl,The Torch,The Harpy,,,
The Pearl,The Lightning,The Starling,,,
The Pearl,The Lightning,The Moon,,,
The Pearl,The Lightning,The Sun,,,
The Pearl,The Lightning,The Well,,,
The Pearl,The Lightning,The Mountain,,,
The Pearl,The Lightning,Atlas,,,
The Pearl,The Lightning,The Hawk,,,
The Pearl,The Lightning,The Storm,,,
The Pearl,The Lightning,The Vulture,,,
The Pearl,The Lightning,The Eye of Horus,,,
The Pearl,The Lightning,The Goat,,,
The Pearl,The Lightning,The Harpy,,,
The Pearl,The Starling,The Moon,,,
The Pearl,The Starling,The Sun,,,
The Pearl,The Starling,The Well,,,
The Pearl,The Starling,The Mountain,,,
The Pearl,The Starling,Atlas,,,
The Pearl,The Starling,The Hawk,,,
The Pearl,The Starling,The Storm,,,
The Pearl,The Starling,The Vulture,,,
The Pearl,The Starling,The Eye of Horus,,,
The Pearl,The Starling,The Goat,,,
The Pearl,The Starling,The Harpy,,,
The Pearl,The Moon,The Sun,,,
The Pearl,The Moon,The Well,,,
The Pearl,The Moon,The Mountain,,,
The Pearl,The Moon,Atlas,,,
The Pearl,The Moon,The Hawk,,,
The Pearl,The Moon,The Storm,,,
The Pearl,The Moon,The Vulture,,,
The Pearl,The Moon,The Eye of Horus,,,
The Pearl,The Moon,The Goat,,,
The Pearl,The Moon,The Harpy,,,
The Pearl,The Sun,The Well,,,
The Pearl,The Sun,The Mountain,,,
The Pearl,The Sun,Atlas,,,
The Pearl,The Sun,The Hawk,,,
The Pearl,The Sun,The Storm,,,
The Pearl,The Sun,The Vulture,,,
The Pearl,The Sun,The Eye of Horus,,,
The Pearl,The Sun,The Goat,,,
The Pearl,The Sun,The Harpy,,,
The Pearl,The Well,The Mountain,,,
The Pearl,The Well,Atlas,,,
The Pearl,The Well,The Hawk,,,
The Pearl,The Well,The Storm,,,
The Pearl,The Well,The Vulture,,,
The Pearl,The Well,The Eye of Horus,,,
The Pearl,The Well,The Goat,,,
The Pearl,The Well,The Harpy,,,
The Pearl,The Mountain,Atlas,,,
The Pearl,The Mountain,The Hawk,,,
The Pearl,The Mountain,The Storm,,,
The Pearl,The Mountain,The Vulture,,,
The Pearl,The Mountain,The Eye of Horus,,,
The Pearl,The Mountain,The Goat,,,
The Pearl,The Mountain,The Harpy,,,
The Pearl,Atlas,The Hawk,,,
The Pearl,Atlas,The Storm,,,
The Pearl,Atlas,The Vulture,,,
The Pearl,Atlas,The Eye of Horus,,,
The Pearl,Atlas,The Goat,,,
The Pearl,Atlas,The Harpy,,,
The Pearl,The Hawk,The Storm,,,
The Pearl,The Hawk,The Vulture,,,
The Pearl,The Hawk,The Eye of Horus,,,
The Pearl,The Hawk,The Goat,,,
The Pearl,The Hawk,The Harpy,,,
The Pearl,The Storm,The Vulture,,,
The Pearl,The Storm,The Eye of Horus,,,
The Pearl,The Storm,The Goat,,,
The Pearl,The Storm,The Harpy,,,
The Pearl,The Vulture,The Eye of Horus,,,
The Pearl,The Vulture,The Goat,,,
The Pearl,The Vulture,The Harpy,,,
The Pearl,The Eye of Horus,The Goat,,,
The Pearl,The Eye of Horus,The Harpy,,,
The Pearl,The Goat,The Harpy,,,
The Ear,The Inner Eye,The Shattered Shell,,,
The Ear,The Inner Eye,The Hearthstone,,,
The Ear,The Inner Eye,The Selkie,,,
The Ear,The Inner Eye,The Heart,,,
The Ear,The Inner Eye,The Satyr,,,
The Ear,The Inner Eye,The Cave,,,
The Ear,The Inner Eye,The Bone Skull,,,
The Ear,The Inner Eye,The Wheel,,,
The Ear,The Inner Eye,The Mirror,,,
The Ear,The Inner Eye,The Bat,,,
The Ear,The Inner Eye,The Thorn,,,
The Ear,The Inner Eye,The Angel,,,
The Ear,The Inner Eye,The Torch,,,
The Ear,The Inner Eye,The Lightning,,,
The Ear,The Inner Eye,The Starling,,,
The Ear,The Inner Eye,The Moon,,,
The Ear,The Inner Eye,The Sun,,,
The Ear,The Inner Eye,The Well,,,
The Ear,The Inner Eye,The Mountain,,,
The Ear,The Inner Eye,Atlas,,,
The Ear,The Inner Eye,The Hawk,,,
The Ear,The Inner Eye,The Storm,,,
The Ear,The Inner Eye,The Vulture,,,
The Ear,The Inner Eye,The Eye of Horus,,,
The Ear,The Inner Eye,The Goat,,,
The Ear,The Inner Eye,The Harpy,,,
The Ear,The Shattered Shell,The Hearthstone,,,
The Ear,The Shattered Shell,The Selkie,,,
The Ear,The Shattered Shell,The Heart,,,
The Ear,The Shattered Shell,The Satyr,,,
The Ear,The Shattered Shell,The Cave,,,
The Ear,The Shattered Shell,The Bone Skull,,,
The Ear,The Shattered Shell,The Wheel,,,
The Ear,The Shattered Shell,The Mirror,,,
The Ear,The Shattered Shell,The Bat,,,
The Ear,The Shattered Shell,The Thorn,,,
The Ear,The Shattered Shell,The Angel,,,
The Ear,The Shattered Shell,The Torch,,,
The Ear,The Shattered Shell,The Lightning,,,
The Ear,The Shattered Shell,The Starling,,,
The Ear,The Shattered Shell,The Moon,,,
The Ear,The Shattered Shell,The Sun,,,
The Ear,The Shattered Shell,The Well,,,
The Ear,The Shattered Shell,The Mountain,,,
The Ear,The Shattered Shell,Atlas,,,
The Ear,The Shattered Shell,The Hawk,,,
The Ear,The Shattered Shell,The Storm,,,
The Ear,The Shattered Shell,The Vulture,,,
The Ear,The Shattered Shell,The Eye of Horus,,,
The Ear,The Shattered Shell,The Goat,,,
The Ear,The Shattered Shell,The Harpy,,,
The Ear,The Hearthstone,The Selkie,,,
The Ear,The Hearthstone,The Heart,,,
The Ear,The Hearthstone,The Satyr,,,
The Ear,The Hearthstone,The Cave,,,
The Ear,The Hearthstone,The Bone Skull,,,
The Ear,The Hearthstone,The Wheel,,,
The Ear,The Hearthstone,The Mirror,,,
The Ear,The Hearthstone,The Bat,,,
The Ear,The Hearthstone,The Thorn,,,
The Ear,The Hearthstone,The Angel,,,
The Ear,The Hearthstone,The Torch,,,
The Ear,The Hearthstone,The Lightning,,,
The Ear,The Hearthstone,The Starling,,,
The Ear,The Hearthstone,The Moon,,,
The Ear,The Hearthstone,The Sun,,,
The Ear,The Hearthstone,The Well,,,
The Ear,The Hearthstone,The Mountain,,,
The Ear,The Hearthstone,Atlas,,,
The Ear,The Hearthstone,The Hawk,,,
The Ear,The Hearthstone,The Storm,,,
The Ear,The Hearthstone,The Vulture,,,
The Ear,The Hearthstone,The Eye of Horus,,,
The Ear,The Hearthstone,The Goat,,,
The Ear,The Hearthstone,The Harpy,,,
The Ear,The Selkie,The Heart,,,
The Ear,The Selkie,The Satyr,,,
The Ear,The Selkie,The Cave,,,
The Ear,The Selkie,The Bone Skull,,,
The Ear,The Selkie,The Wheel,,,
The Ear,The Selkie,The Mirror,,,
The Ear,The Selkie,The Bat,,,
The Ear,The Selkie,The Thorn,,,
The Ear,The Selkie,The Angel,,,
The Ear,The Selkie,The Torch,,,
The Ear,The Selkie,The Lightning,,,
The Ear,The Selkie,The Starling,,,
The Ear,The Selkie,The Moon,,,
The Ear,The Selkie,The Sun,,,
The Ear,The Selkie,The Well,,,
The Ear,The Selkie,The Mountain,,,
The Ear,The Selkie,Atlas,,,
The Ear,The Selkie,The Hawk,,,
The Ear,The Selkie,The Storm,,,
The Ear,The Selkie,The Vulture,,,
The Ear,The Selkie,The Eye of Horus,,,
The Ear,The Selkie,The Goat,,,
The Ear,The Selkie,The Harpy,,,
The Ear,The Heart,The Satyr,,,
The Ear,The Heart,The Cave,,,
The Ear,The Heart,The Bone Skull,,,
The Ear,The Heart,The Wheel,,,
The Ear,The Heart,The Mirror,,,
The Ear,The Heart,The Bat,,,
The Ear,The Heart,The Thorn,,,
The Ear,The Heart,The Angel,,,
The Ear,The Heart,The Torch,,,
The Ear,The Heart,The Lightning,,,
The Ear,The Heart,The Starling,,,
The Ear,The Heart,The Moon,,,
The Ear,The Heart,The Sun,,,
The Ear,The Heart,The Well,,,
The Ear,The Heart,The Mountain,,,
The Ear,The Heart,Atlas,,,
The Ear,The Heart,The Hawk,,,
The Ear,The Heart,The Storm,,,
The Ear,The Heart,The Vulture,,,
The Ear,The Heart,The Eye of Horus,,,
The Ear,The Heart,The Goat,,,
The Ear,The Heart,The Harpy,,,
The Ear,The Satyr,The Cave,,,
The Ear,The Satyr,The Bone Skull,,,
The Ear,The Satyr,The Wheel,,,
The Ear,The Satyr,The Mirror,,,
The Ear,The Satyr,The Bat,,,
The Ear,The Satyr,The Thorn,,,
The Ear,The Satyr,The Angel,,,
The Ear,The Satyr,The Torch,,,
The Ear,The Satyr,The Lightning,,,
The Ear,The Satyr,The Starling,,,
The Ear,The Satyr,The Moon,,,
The Ear,The Satyr,The Sun,,,
The Ear,The Satyr,The Well,,,
The Ear,The Satyr,The Mountain,,,
The Ear,The Satyr,Atlas,,,
The Ear,The Satyr,The Hawk,,,
The Ear,The Satyr,The Storm,,,
The Ear,The Satyr,The Vulture,,,
The Ear,The Satyr,The Eye of Horus,,,
The Ear,The Satyr,The Goat,,,
The Ear,The Satyr,The Harpy,,,
The Ear,The Cave,The Bone Skull,,,
The Ear,The Cave,The Wheel,,,
The Ear,The Cave,The Mirror,,,
The Ear,The Cave,The Bat,,,
The Ear,The Cave,The Thorn,,,
The Ear,The Cave,The Angel,,,
The Ear,The Cave,The Torch,,,
The Ear,The Cave,The Lightning,,,
The Ear,The Cave,The Starling,,,
The Ear,The Cave,The Moon,,,
The Ear,The Cave,The Sun,,,
The Ear,The Cave,The Well,,,
The Ear,The Cave,The Mountain,,,
The Ear,The Cave,Atlas,,,
The Ear,The Cave,The Hawk,,,
The Ear,The Cave,The Storm,,,
The Ear,The Cave,The Vulture,,,
The Ear,The Cave,The Eye of Horus,,,
The Ear,The Cave,The Goat,,,
The Ear,The Cave,The Harpy,,,
The Ear,The Bone Skull,The Wheel,,,
The Ear,The Bone Skull,The Mirror,,,
The Ear,The Bone Skull,The Bat,,,
The Ear,The Bone Skull,The Thorn,,,
The Ear,The Bone Skull,The Angel,,,
The Ear,The Bone Skull,The Torch,,,
The Ear,The Bone Skull,The Lightning,,,
The Ear,The Bone Skull,The Starling,,,
The Ear,The Bone Skull,The Moon,,,
The Ear,The Bone Skull,The Sun,,,
The Ear,The Bone Skull,The Well,,,
The Ear,The Bone Skull,The Mountain,,,
The Ear,The Bone Skull,Atlas,,,
The Ear,The Bone Skull,The Hawk,,,
The Ear,The Bone Skull,The Storm,,,
The Ear,The Bone Skull,The Vulture,,,
The Ear,The Bone Skull,The Eye of Horus,,,
The Ear,The Bone Skull,The Goat,,,
The Ear,The Bone Skull,The Harpy,,,
The Ear,The Wheel,The Mirror,,,
The Ear,The Wheel,The Bat,,,
The Ear,The Wheel,The Thorn,,,
The Ear,The Wheel,The Angel,,,
The Ear,The Wheel,The Torch,,,
The Ear,The Wheel,The Lightning,,,
The Ear,The Wheel,The Starling,,,
The Ear,The Wheel,The Moon,,,
The Ear,The Wheel,The Sun,,,
The Ear,The Wheel,The Well,,,
The Ear,The Wheel,The Mountain,,,
The Ear,The Wheel,Atlas,,,
The Ear,The Wheel,The Hawk,,,
The Ear,The Wheel,The Storm,,,
The Ear,The Wheel,The Vulture,,,
The Ear,The Wheel,The Eye of Horus,,,
The Ear,The Wheel,The Goat,,,
The Ear,The Wheel,The Harpy,,,
The Ear,The Mirror,The Bat,,,
The Ear,The Mirror,The Thorn,,,
The Ear,The Mirror,The Angel,,,
The Ear,The Mirror,The Torch,,,
The Ear,The Mirror,The Lightning,,,
The Ear,The Mirror,The Starling,,,
The Ear,The Mirror,The Moon,,,
The Ear,The Mirror,The Sun,,,
The Ear,The Mirror,The Well,,,
The Ear,The Mirror,The Mountain,,,
The Ear,The Mirror,Atlas,,,
The Ear,The Mirror,The Hawk,,,
The Ear,The Mirror,The Storm,,,
The Ear,The Mirror,The Vulture,,,
The Ear,The Mirror,The Eye of Horus,,,
The Ear,The Mirror,The Goat,,,
The Ear,The Mirror,The Harpy,,,
The Ear,The Bat,The Thorn,,,
The Ear,The Bat,The Angel,,,
The Ear,The Bat,The Torch,,,
The Ear,The Bat,The Lightning,,,
The Ear,The Bat,The Starling,,,
The Ear,The Bat,The Moon,,,
The Ear,The Bat,The Sun,,,
The Ear,The Bat,The Well,,,
The Ear,The Bat,The Mountain,,,
The Ear,The Bat,Atlas,,,
The Ear,The Bat,The Hawk,,,
The Ear,The Bat,The Storm,,,
The Ear,The Bat,The Vulture,,,
The Ear,The Bat,The Eye of Horus,,,
The Ear,The Bat,The Goat,,,
The Ear,The Bat,The Harpy,,,
The Ear,The Thorn,The Angel,,,
The Ear,The Thorn,The Torch,,,
The Ear,The Thorn,The Lightning,,,
The Ear,The Thorn,The Starling,,,
The Ear,The Thorn,The Moon,,,
The Ear,The Thorn,The Sun,,,
The Ear,The Thorn,The Well,,,
The Ear,The Thorn,The Mountain,,,
The Ear,The Thorn,Atlas,,,
The Ear,The Thorn,The Hawk,,,
The Ear,The Thorn,The Storm,,,
The Ear,The Thorn,The Vulture,,,
The Ear,The Thorn,The Eye of Horus,,,
The Ear,The Thorn,The Goat,,,
The Ear,The Thorn,The Harpy,,,
The Ear,The Angel,The Torch,,,
The Ear,The Angel,The Lightning,,,
The Ear,The Angel,The Starling,,,
The Ear,The Angel,The Moon,,,
The Ear,The Angel,The Sun,,,
The Ear,The Angel,The Well,,,
The Ear,The Angel,The Mountain,,,
The Ear,The Angel,Atlas,,,
The Ear,The Angel,The Hawk,,,
The Ear,The Angel,The Storm,,,
The Ear,The Angel,The Vulture,,,
The Ear,The Angel,The Eye of Horus,,,
The Ear,The Angel,The Goat,,,
The Ear,The Angel,The Harpy,,,
The Ear,The Torch,The Lightning,,,
The Ear,The Torch,The Starling,,,
The Ear,The Torch,The Moon,,,
The Ear,The Torch,The Sun,,,
The Ear,The Torch,The Well,,,
The Ear,The Torch,The Mountain,,,
The Ear,The Torch,Atlas,,,
The Ear,The Torch,The Hawk,,,
The Ear,The Torch,The Storm,,,
The Ear,The Torch,The Vulture,,,
The Ear,The Torch,The Eye of Horus,,,
The Ear,The Torch,The Goat,,,
The Ear,The Torch,The Harpy,,,
The Ear,The Lightning,The Starling,,,
The Ear,The Lightning,The Moon,,,
The Ear,The Lightning,The Sun,,,
The Ear,The Lightning,The Well,,,
The Ear,The Lightning,The Mountain,,,
The Ear,The Lightning,Atlas,,,
The Ear,The Lightning,The Hawk,,,
The Ear,The Lightning,The Storm,,,
The Ear,The Lightning,The Vulture,,,
The Ear,The Lightning,The Eye of Horus,,,
The Ear,The Lightning,The Goat,,,
The Ear,The Lightning,The Harpy,,,
The Ear,The Starling,The Moon,,,
The Ear,The Starling,The Sun,,,
The Ear,The Starling,The Well,,,
The Ear,The Starling,The Mountain,,,
The Ear,The Starling,Atlas,,,
The Ear,The Starling,The Hawk,,,
The Ear,The Starling,The Storm,,,
The Ear,The Starling,The Vulture,,,
The Ear,The Starling,The Eye of Horus,,,
The Ear,The Starling,The Goat,,,
The Ear,The Starling,The Harpy,,,
The Ear,The Moon,The Sun,,,
The Ear,The Moon,The Well,,,
The Ear,The Moon,The Mountain,,,
The Ear,The Moon,Atlas,,,
The Ear,The Moon,The Hawk,,,
The Ear,The Moon,The Storm,,,
The Ear,The Moon,The Vulture,,,
